Teff_kK	M	Te(K)	ne(cm^-3)	O++/H+_CEL	12+log(O++)_CEL	O++/H+_RL	12+log(O++)_RL	ADF_O	C++/H+_CEL	12+log(C++)_CEL	C++/H+_RL	12+log(C++)_RL	ADF_C	N++/H+_CEL	12+log(N++)_CEL	N++/H+_RL	12+log(N++)_RL	ADF_N
80	M30	6553.272682	7564.806413	1.982696e-04	8.297256	7.882392e-03	9.896658	39.755930	5.394428e-04	8.731945	1.649970e-02	10.217476	30.586556	9.979092e-05	7.999091	1.460734e-03	9.164571	14.637947
90	M1	11388.5	5583.867363	3.763509e-04	8.575593	4.156649e-04	8.618743	1.104461	4.121981e-04	8.615106	5.739108e-04	8.758844	1.392318	9.802668e-05	7.991344	6.096489e-05	7.785080	0.621921
90	M2	10245	5533.486987	5.520432e-04	8.741973	6.518698e-04	8.814161	1.180831	6.654899e-04	8.823141	9.016016e-04	8.955015	1.354794	1.617125e-04	8.208744	9.816484e-05	7.991956	0.607033
90	M3	9459.634785	5550.229736	7.133486e-04	8.853302	9.033657e-04	8.955864	1.266373	9.405898e-04	8.973400	1.323191e-03	9.121622	1.406767	2.320787e-04	8.365635	1.314366e-04	8.118716	0.566345
90	M5	8649.766567	5567.023143	8.936354e-04	8.951160	1.392290e-03	9.143730	1.558007	1.350149e-03	9.130382	2.173981e-03	9.337256	1.610179	3.396097e-04	8.530980	2.116354e-04	8.325588	0.623173
90	M10	7809.569912	5643.224501	9.158146e-04	8.961808	2.646486e-03	9.422670	2.889762	1.692895e-03	9.228630	4.681149e-03	9.670352	2.765173	4.191006e-04	8.622318	4.265059e-04	8.629925	1.017670
90	M20	7519.166921	5720.468902	3.947405e-04	8.596312	5.319890e-03	9.725903	13.476929	7.695259e-04	8.886223	1.063323e-02	10.026665	13.817901	1.527111e-04	8.183871	9.090537e-04	8.958590	5.952768
90	M30	7670.960163	6076.772355	1.286192e-04	8.109306	8.125226e-03	9.909835	63.172712	1.574615e-04	8.197174	1.747144e-02	10.242329	110.956913	2.435637e-05	7.386612	1.401925e-03	9.146725	57.558880
100	M1	11644.3	4675.748707	3.368861e-04	8.527483	3.739487e-04	8.572812	1.110015	3.870125e-04	8.587725	5.365161e-04	8.729583	1.386302	9.172926e-05	7.962508	7.110722e-05	7.851914	0.775186
100	M2	10508.3	4619.584279	4.965282e-04	8.695944	5.690410e-04	8.755144	1.146040	6.056831e-04	8.782245	8.377092e-04	8.923093	1.383082	1.452483e-04	8.162111	8.398469e-05	7.924200	0.578215
100	M3	9755.677882	4619.584279	6.316341e-04	8.800466	7.801495e-04	8.892178	1.235129	8.220371e-04	8.914891	1.198609e-03	9.078677	1.458095	1.991171e-04	8.299108	1.180038e-04	8.071896	0.592635
100	M5	8880.130935	4647.581653	7.970498e-04	8.901485	1.240669e-03	9.093656	1.556576	1.149196e-03	9.060394	2.016695e-03	9.304640	1.754875	2.825933e-04	8.451162	1.978964e-04	8.296438	0.700287
100	M10	8079.941744	4696.985968	7.532346e-04	8.876930	2.455161e-03	9.390080	3.259490	1.209013e-03	9.082431	4.544477e-03	9.657484	3.758832	2.886285e-04	8.460339	3.984876e-04	8.600415	1.380625
100	M20	8181.201933	4870.393664	2.496215e-04	8.397282	5.117118e-03	9.709025	20.499508	3.103698e-04	8.491879	1.091012e-02	10.037830	35.152014	5.393058e-05	7.731835	8.760233e-04	8.942516	16.243534
100	M30	9185.054069	5240.608157	5.937016e-05	7.773568	7.863936e-03	9.895640	132.456025	2.955411e-05	7.470618	1.846146e-02	10.266266	624.666531	3.514741e-06	6.545893	1.343079e-03	9.128102	382.127543
110	M1	11691.8	4050.680450	3.465895e-04	8.539815	3.790695e-04	8.578719	1.093713	3.748861e-04	8.573899	5.269248e-04	8.721749	1.405560	8.799625e-05	7.944464	5.362291e-05	7.729350	0.609377
110	M2	10498.8	4008.074171	5.178881e-04	8.714236	5.886970e-04	8.769892	1.136726	6.052308e-04	8.781921	8.179548e-04	8.912729	1.351476	1.443864e-04	8.159526	7.755137e-05	7.889589	0.537110
110	M3	9861.282200	3971.911370	6.275009e-04	8.797614	7.752080e-04	8.889418	1.235390	7.923984e-04	8.898944	1.124697e-03	9.051035	1.419358	1.923520e-04	8.284097	9.881736e-05	7.994833	0.513732
110	M5	8991.489582	3959.929755	7.813388e-04	8.892839	1.232725e-03	9.090866	1.577709	1.121619e-03	9.049845	1.909028e-03	9.280812	1.702030	2.791535e-04	8.445843	1.712833e-04	8.233715	0.613581
110	M10	8046.174246	4050.680450	7.684769e-04	8.885631	2.511078e-03	9.399860	3.267604	1.263918e-03	9.101719	4.512047e-03	9.654374	3.569889	3.007227e-04	8.478166	3.850573e-04	8.585525	1.280440
110	M20	8240.351043	4232.071089	2.468125e-04	8.392367	5.163945e-03	9.712982	20.922547	3.484412e-04	8.542129	1.088607e-02	10.036871	31.242196	6.378833e-05	7.804741	8.485040e-04	8.928654	13.301869
110	M30	8942.306787	4434.962902	6.552911e-05	7.816434	8.032383e-03	9.904844	122.577323	4.038991e-05	7.606273	1.861778e-02	10.269928	460.951406	4.917966e-06	6.691785	1.344797e-03	9.128657	273.445868
